"stationID","month","year","rain"
"3050/5","September",1867,4.63
"3050/5","October",1867,4.62
"3050/5","November",1867,1.75
"3050/5","December",1867,3.63
"3050/5","January",1868,3.37
"3050/5","February",1868,3.38
"3050/5","March",1868,5.5
"3050/5","April",1868,2.75
"3050/5","May",1868,2
"3050/5","June",1868,0.5
"3050/5","July",1868,0.62
"3050/5","August",1868,5
"3050/5","September",1868,1.88
"3050/5","October",1868,5.62
"3050/5","November",1868,2.75
"3050/5","December",1868,9.13
"3050/5","January",1869,4.75
"3050/5","February",1869,6.63
"3050/5","March",1869,1.37
"3050/5","April",1869,2.88
"3050/5","May",1869,3.12
"3050/5","June",1869,2.38
"3050/5","July",1869,1
"3050/5","August",1869,2.37
"3050/5","September",1869,8.63
"3050/5","October",1869,3.62
"3050/5","November",1869,5.13
"3050/5","December",1869,4.87
"3050/5","January",1870,4
"3050/5","February",1870,2.12
"3050/5","March",1870,2.38
"3050/5","April",1870,1.62
"3050/5","May",1870,2.38
"3050/5","June",1870,2
"3050/5","July",1870,2
"3050/5","August",1870,2.12
"3050/5","September",1870,3.5
"3050/5","October",1870,10
"3050/5","November",1870,2.88
"3050/5","December",1870,3
"3050/5","January",1871,1.75
"3050/5","February",1871,4.13
"3050/5","March",1871,1.87
"3050/5","April",1871,3
"3050/5","May",1871,2
"3050/5","June",1871,2.13
"3050/5","July",1871,6.25
"3050/5","August",1871,1.87
"3050/5","September",1871,3.88
"3050/5","October",1871,5.87
"3050/5","November",1871,1.75
"3050/5","December",1871,4.63
"3050/5","January",1872,7.25
"3050/5","February",1872,4.38
"3050/5","March",1872,4.87
"3050/5","April",1872,2.13
"3050/5","May",1872,2
"3050/5","June",1872,5.5
"3050/5","July",1872,6.5
"3050/5","August",1872,5.37
"3050/5","September",1872,8.38
"3050/5","October",1872,6.62
"3050/5","November",1872,5
"3050/5","December",1872,4.75
"3050/5","January",1873,6.25
"3050/5","February",1873,0.75
"3050/5","March",1873,3.13
"3050/5","April",1873,0.5
"3050/5","May",1873,1.62
"3050/5","June",1873,2.38
